label,dimension,value,over_index_pct,ci_low_pct,ci_high_pct,pct_in_top10,pct_in_sample,significant,included_in_report
order_freq: More than 10 times per month,order_freq,More than 10 times per month,387.3,324.5,456.5,36.1,7.4,true,true
"income: $150,000 or more",income,"$150,000 or more",154.2,107.8,203.9,23.9,9.4,true,true
"income: $100,000 - $149,999",income,"$100,000 - $149,999",87.6,57.9,120.0,28.4,15.1,true,true
order_freq: 5 - 10 times per month,order_freq,5 - 10 times per month,80.9,61.5,101.5,51.6,28.5,true,true
age: 55 - 64 years,age,55 - 64 years,58.9,12.8,108.5,11.2,7.1,true,true
state: North Carolina,state,North Carolina,53.6,-9.6,122.7,5.6,3.7,false,false
"education: Graduate or professional degree (MA, MS, MBA, PhD, JD, MD, DDS, etc)",education,"Graduate or professional degree (MA, MS, MBA, PhD, JD, MD, DDS, etc)",52.9,22.8,80.8,25.3,16.5,true,true
hh_size: 4+,hh_size,4+,45.9,24.6,67.5,35.4,24.3,true,true
state: California,state,California,45.5,10.3,82.5,15.1,10.4,true,true
age: 45 - 54 years,age,45 - 54 years,45.2,15.4,78.7,20.0,13.8,true,true
age: 35 - 44 years,age,35 - 44 years,37.2,16.5,57.3,34.4,25.1,true,true
state: Texas,state,Texas,37.2,-7.0,79.1,10.2,7.4,false,false
state: Ohio,state,Ohio,27.6,-26.6,91.3,6.0,4.7,false,false
state: Illinois,state,Illinois,19.8,-31.4,81.6,5.3,4.4,false,false
"income: $75,000 - $99,999",income,"$75,000 - $99,999",14.2,-11.8,45.3,17.5,15.4,false,false
gender: Female,gender,Female,9.2,-1.9,19.5,56.1,51.4,false,false
education: Bachelor's degree,education,Bachelor's degree,6.8,-5.3,18.9,47.4,44.4,false,false
state: Georgia,state,Georgia,6.2,-48.5,70.0,3.5,3.3,false,false
race: asian,race,asian,4.3,-27.3,42.4,10.5,10.1,false,false
race: white,race,white,4.2,-0.6,8.8,85.3,81.9,false,false
hh_size: 2,hh_size,2,1.9,-13.3,17.0,32.3,31.7,false,false
state: Michigan,state,Michigan,1.9,-51.6,61.8,3.5,3.4,false,false
hh_size: 3,hh_size,3,0.9,-20.2,23.5,20.0,19.8,false,false
gender: Male,gender,Male,-8.9,-19.9,3.7,41.8,45.8,false,false
race: amerindian,race,amerindian,-13.2,-70.8,56.4,2.1,2.4,false,false
state: Other states,state,Other states,-13.5,-25.4,-1.8,37.9,43.8,true,true
gender: Other,gender,Other,-18.0,-75.4,51.9,2.1,2.6,false,false
"income: $50,000 - $74,999",income,"$50,000 - $74,999",-20.1,-38.7,0.0,16.8,21.1,false,false
state: Florida,state,Florida,-22.1,-55.1,13.2,5.6,7.2,false,false
age: 25 - 34 years,age,25 - 34 years,-26.4,-40.0,-12.3,26.0,35.3,true,true
state: Pennsylvania,state,Pennsylvania,-27.8,-66.7,16.3,3.9,5.3,false,false
race: black,race,black,-29.0,-56.8,1.6,6.3,8.9,false,false
education: High school diploma or GED,education,High school diploma or GED,-30.1,-42.4,-17.1,26.3,37.6,true,true
race: other_race,race,other_race,-30.7,-82.9,29.3,1.8,2.5,false,false
state: New York,state,New York,-45.2,-76.7,-10.9,3.5,6.4,true,true
hh_size: 1 (just me!),hh_size,1 (just me!),-49.3,-64.2,-34.7,12.3,24.2,true,true
age: 65 and older,age,65 and older,-54.6,-89.8,-9.0,1.4,3.1,true,true
age: 18 - 24 years,age,18 - 24 years,-55.4,-73.1,-36.5,7.0,15.7,true,true
"income: $25,000 - $49,999",income,"$25,000 - $49,999",-57.7,-72.3,-42.1,9.8,23.2,true,true
"income: Less than $25,000",income,"Less than $25,000",-78.1,-90.4,-63.3,3.2,14.4,true,true
order_freq: Less than 5 times per month,order_freq,Less than 5 times per month,-80.8,-86.9,-75.1,12.3,64.1,true,true
