cum_population_pct,cum_gmv_pct,equality_pct
0.0,0.0,0.0
0.9948,0.0066,0.9948
1.9897,0.0242,1.9897
2.9845,0.0516,2.9845
3.9992,0.0895,3.9992
4.994,0.1347,4.994
5.9889,0.1913,5.9889
6.9837,0.257,6.9837
7.9984,0.3327,7.9984
8.9932,0.4148,8.9932
9.9881,0.5059,9.9881
10.9829,0.6058,10.9829
11.9976,0.7174,11.9976
12.9924,0.8358,12.9924
13.9873,0.964,13.9873
14.9821,1.1002,14.9821
15.9968,1.2501,15.9968
16.9916,1.4066,16.9916
17.9865,1.5738,17.9865
18.9813,1.7523,18.9813
19.996,1.9455,19.996
20.9908,2.1472,20.9908
21.9857,2.361,21.9857
22.9805,2.5865,22.9805
23.9952,2.8281,23.9952
24.9901,3.0767,24.9901
25.9849,3.3381,25.9849
26.9996,3.6197,26.9996
27.9944,3.9101,27.9944
28.9893,4.2155,28.9893
29.9841,4.5349,29.9841
30.9988,4.8747,30.9988
31.9936,5.2219,31.9936
32.9885,5.5805,32.9885
33.9833,5.9488,33.9833
34.998,6.3376,34.998
35.9928,6.7366,35.9928
36.9877,7.1531,36.9877
37.9825,7.5856,37.9825
38.9972,8.0397,38.9972
39.992,8.4994,39.992
40.9869,8.976,40.9869
41.9817,9.4699,41.9817
42.9964,9.9932,42.9964
43.9912,10.5231,43.9912
44.9861,11.0717,44.9861
45.9809,11.6346,45.9809
46.9956,12.2286,46.9956
47.9904,12.8324,47.9904
48.9853,13.4561,48.9853
50.0,14.1099,50.0
50.9948,14.7653,50.9948
51.9897,15.4378,51.9897
52.9845,16.1273,52.9845
53.9992,16.8461,53.9992
54.994,17.5698,54.994
55.9889,18.3108,55.9889
56.9837,19.0721,56.9837
57.9984,19.8731,57.9984
58.9932,20.6818,58.9932
59.9881,21.5176,59.9881
60.9829,22.3776,60.9829
61.9976,23.2816,61.9976
62.9924,24.1987,62.9924
63.9873,25.1413,63.9873
64.9821,26.108,64.9821
65.9968,27.1171,65.9968
66.9916,28.1296,66.9916
67.9865,29.1705,67.9865
68.9813,30.2443,68.9813
69.996,31.3801,69.996
70.9908,32.5418,70.9908
71.9857,33.7442,71.9857
72.9805,34.9857,72.9805
73.9952,36.2864,73.9952
74.9901,37.5992,74.9901
75.9849,38.9476,75.9849
76.9996,40.3686,76.9996
77.9944,41.8077,77.9944
78.9893,43.2979,78.9893
79.9841,44.8437,79.9841
80.9988,46.4814,80.9988
81.9936,48.1406,81.9936
82.9885,49.8505,82.9885
83.9833,51.6147,83.9833
84.998,53.4821,84.998
85.9928,55.3903,85.9928
86.9877,57.3769,86.9877
87.9825,59.447,87.9825
88.9972,61.6521,88.9972
89.992,63.904,89.992
90.9869,66.2746,90.9869
91.9817,68.7993,91.9817
92.9964,71.5212,92.9964
93.9912,74.351,93.9912
94.9861,77.3981,94.9861
95.9809,80.691,95.9809
96.9956,84.3722,96.9956
97.9904,88.394,97.9904
98.9853,93.1025,98.9853
100.0,100.0,100.0
